Sno,Tweet,Date,Likes,RTs,Sentiments
1,a contestant on KBC wanted a drink of water he was physically challenged I helped him a poignant mome,2018-02-11 18:40:03,1271,168,0
2,T 2611 30 YEARS OF SHAHENSHAH amazing times came at the time when there was little hope of its release,2018-02-11 18:29:35,1620,178,1
3,admiration,2018-02-11 14:34:31,1795,131,0
4,beautiful so proud of the thoughts expressed for India and our love for the people of Dubai and the entire UA,2018-02-11 14:29:04,3509,444,1
5,T 2610 Nida Fazli,2018-02-10 21:15:01,13026,777,0
6,T 2610 And the translation of the Blog verse as promised,2018-02-10 08:12:55,5230,349,0
7,T 2610 To all of them that express concern I am in wellness you may learn I wrote a Blog verse last night in re,2018-02-10 08:08:15,8393,590,0
8,T 2609 Maharishi Dayanand Saraswati Jayanti naman,2018-02-09 19:14:27,14463,1090,0
9,T 2609 BAAADDUUMMMBAAAAAAAAAAA YO,2018-02-09 19:05:12,7295,554,0
10,T 2609 ITS HERE the teaser for 102 Not Out as promised BAAADDUUMMMBAAAAAAAAAAA,2018-02-09 07:27:05,17870,1619,0
11,T 2609 Just back from an all night shoot for TOH now to bed and slumber love,2018-02-08 23:55:46,8427,423,1
12,T 2608 Link An old friend A new journey and BAADDUUMMBAAAAA Watch out for the,2018-02-08 13:02:59,3384,292,1
13,T 2608 Link This is what happens when we don t rehearse before the shot Watch out for,2018-02-08 12:58:20,3883,322,0
14,T 2608 LOOK OUT COMING IN A FEW MINUTES the teaser for 102 not out BAADUUMMBAAAAAA,2018-02-08 12:34:55,8827,494,-1
15,T 2608 THE calendar of THE Dabboo yo dabbooratnanicalendar always i,2018-02-08 12:28:12,8281,493,0
16,,2018-02-08 05:06:26,28,12,1
17,ati sunder,2018-02-08 05:05:41,26,4,0
18,wah,2018-02-08 05:05:12,24,9,0
19,pranaam,2018-02-08 04:37:53,29,9,0
20,nayak love,2018-02-08 04:37:33,29,9,1
21,i have stopped eating chocolate,2018-02-08 04:37:20,27,11,0
22,,2018-02-08 04:36:38,28,14,0
23,dhanyavaad,2018-02-08 04:36:06,21,10,0
24,RT Dedicated to todays Blog s Official Blog DAY 3607 Love n Respect,2018-02-08 04:35:43,0,121,1
25,RT Sorry not sorry if your cat sucks,2018-02-08 03:51:56,0,11433,-1
26,RT,2018-02-08 03:48:17,0,66,0
27,RT Get up I m being adorable and you re missing it,2018-02-08 03:47:34,0,2060,1
28,T 2607 My BLOG for the day,2018-02-07 21:09:05,3097,214,0
29,hahahaha,2018-02-07 19:19:24,1519,180,1
30,T 2607 INDIA WINS AGAIN against South Africa most convincingly CONGRATULATIONS INDIA and VIRAAAT yo,2018-02-07 19:12:48,14977,1200,1
31,incredible you make us so proud,2018-02-07 19:10:47,3696,326,1
32,women power our pride,2018-02-07 19:10:01,3964,300,0
33,amazing,2018-02-07 19:09:16,2014,194,1
34,Baduuummmbbaaaaaaa,2018-02-07 19:08:52,1695,141,0
35,many congratulations MS may you ever prosper,2018-02-07 19:08:26,4317,420,1
36,PROUD OF YOU Congratulations,2018-02-07 19:07:22,4933,368,1
37,thisis great art work,2018-02-07 18:58:13,30,11,1
38,UPALA really thank you I thought the film was ok,2018-02-07 18:57:51,18,3,1
39,T 2607 38 YEARS of my film Do aur Do Panch formidable and Rakesh the director who was asst for Za,2018-02-07 18:52:49,4673,314,0
40,T 2606 At times it is prudent to be silent and wise and at times it is most essential to realise that a proper,2018-02-06 20:23:25,10663,601,1
