Sno,Tweet,Date,Likes,RTs,Sentiments
1,This didn t go as planned but on a lazy Sunday afternoon with my limited floatation expertise this is the best,2018-02-11 10:39:51,25100,5254,-1
2,Thank u Always fun to do an interview with u U r such a decent man May ur tribe flourish Bless u,2018-02-10 08:15:56,20153,2729,1
3,Build good associations around yourself and ride on 20 yrs with amp learnt that whether it s a vehicl,2018-02-09 09:07:05,34273,4633,1
4,Would love to my friend But working in Delhi Have a great show and share some love with Pune They r with wonderful,2018-02-08 09:29:42,23937,3465,1
5,Man amp Machine for they shall inherit the Earth,2018-02-05 08:07:53,27120,3879,0
6,for they shall inherit the Earth,2018-02-05 07:58:00,30188,3799,0
7,Wow What a proud moment for young India Well done lil ones May u keep conquering the world And keep playing FIFA,2018-02-03 08:01:03,60817,8209,1
8,So sorry didn t realise it was u cos now u r Khilji for me Bahut acchhi picture hai bhai I saw it and loved it,2018-02-02 15:11:32,38285,5737,1
9,Sir I listen to whatever my babies listen to Ranges from Twinkle twinkle to Rap which I can t make head or tail of,2018-02-02 15:08:32,11463,2027,0
10,U need to go easy on the Samosa and cake my friend that s why I ended the chat so soon Ha ha,2018-02-02 15:07:08,8808,1581,1
11,Need to get back to work now Baby also back Thank u for ur time Till next time now AskSRK,2018-02-02 11:33:37,19675,2571,0
12,Pyaar mein conditions nahi hoti,2018-02-02 11:27:21,13762,2326,0
13,Yes absolutely in my blue India jersey,2018-02-02 11:25:53,8292,1527,0
14,Only the good die young RIP,2018-02-02 11:25:01,7819,1590,1
15,Will miss him,2018-02-02 11:23:08,7635,1478,0
16,Kabool hai keh dena Dulhe ko please,2018-02-02 11:20:32,9498,1589,0
17,Looks r not important Look at me,2018-02-02 11:19:21,6457,1179,-1
18,Oh that s scary Please be careful and don t do such dangerous things Please,2018-02-02 11:18:00,6482,1382,-1
19,He is extremely sweet Made me a huge hit with my kids by doing a pic with me,2018-02-02 11:16:32,11005,3248,1
20,I have seen all their matches and I wish them the best,2018-02-02 11:15:09,5528,1141,1
21,Random thoughts lose space in a calculated zone,2018-02-02 11:14:14,5478,1220,-1
22,Thank u,2018-02-02 11:11:12,5595,1076,0
23,Our philosophy at KKR is nurture amp believe in youngsters I feel we will come good,2018-02-02 11:10:43,5803,1257,1
24,Very little otherwise would have shared it with you,2018-02-02 11:08:28,6540,1412,-1
25,Nooo please don t Do a bit of exercise Read a book Don t think too much about yourself Life is good,2018-02-02 11:07:29,7507,2109,1
26,She was so beautifully strong and gentle,2018-02-02 11:05:12,5194,1115,1
27,Both joined to my body,2018-02-02 11:04:06,6997,1392,0
28,Most fun till yet,2018-02-02 11:03:07,5375,1137,1
29,Wow Thank u Will tell Hyundai to copy the design,2018-02-02 11:02:32,6130,1318,1
30,Will tell the team to get in touch with u,2018-02-02 11:00:21,4731,1039,0
31,So sorry But life has a way to heal itself Trust yourself more and don t forget to pray,2018-02-02 10:58:32,6646,1583,0
32,Ha ha Abhi toh main jawaan hoon Bahut zindagi baaki hai,2018-02-02 10:57:12,6295,1330,1
33,More responsible to do the most I can,2018-02-02 10:56:31,5414,1236,1
34,All the best,2018-02-02 10:55:04,5194,1056,1
35,Two words Aur Paas,2018-02-02 10:54:09,5883,1343,0
36,Very very good,2018-02-02 10:53:38,5697,1344,1
37,May God bless her with health,2018-02-02 10:52:58,5186,1093,0
38,Yeh ho jaaye pehle Then will decide,2018-02-02 10:52:36,5034,1111,0
39,Ice ice baby Did an amazing dance with the lil one on that My Fred Astaire moment,2018-02-02 10:51:55,4921,1152,1
40,One of those rare days when I am free at home amp family is working Should we all come aboard for a bit and do AskSRK LETS GO,2018-02-02 10:49:30,17550,2653,1
41,Best memories begin with insane ideas Girls taking me along for a ride called Zero Katrina,2018-02-02 10:18:02,35600,6084,0
42,Very sweet thank u,2018-01-30 11:32:11,20503,2975,1
43,Last episode Ted Talks india Hope the ideas discussed give u all some ideas Thanx Star Plus Team amp all who put it together,2018-01-28 14:07:02,31949,4263,0
44,Goodbye Davos Thanks Prof amp Mrs Schwab for the Crystal award To all wonderful people at Davos for being so gr,2018-01-24 17:21:00,57467,6797,1
45,You are the loveliest Thank u for such a happy day,2018-01-24 01:17:14,24627,4018,1
46,RT With the legendary today interviewing him about his films family and philanthropic work equality CrystalAwa,2018-01-24 01:16:35,0,3095,1
47,Switzerland main aake yeh na kiya toh kya kiya Loving being at the Davos now to get ready for the Crystal Awa,2018-01-22 13:17:58,78098,10751,1
48,Honoured to receive the s 24th Crystal Award together with and Cate Blanchett My fan moment,2018-01-22 10:07:43,18166,4275,0
49,Bhai Sahib kaafi thand hai Hope to find some love amp friendship to keep me warm here Thank u for the honour,2018-01-22 08:47:45,30465,4801,1
50,Does happiness have an address Pursuit of happiness on TEDTalksIndiaNayiSoch Tonight at 7pm,2018-01-21 13:03:26,24751,3980,1
51,This one was special It was a complete disaster and completely written off Our failure made us Aziz juhi amp me stronger Love PBDHH,2018-01-20 19:42:15,29937,4391,1
52,Traffic maketh you a photo editor besides late for work,2018-01-16 12:13:58,53188,6374,-1
53,Celebrated Makar Sankranti the festival of harvesting amp happiness for our farmers around the country by flying a ki,2018-01-14 18:24:41,53351,6788,1
54,Learning should never stop in the school of life WonderOfLearning on TEDTalksIndiaNayiSoch Tonight at 7pm on,2018-01-14 09:54:35,23154,4131,0
55,Come Live your Dreams in Dubai BeMyGuest,2018-01-14 09:42:27,19243,3798,1
56,Peace and happiness to all of you this Lohri HappyLohri,2018-01-13 10:33:18,41277,5640,1
57,Come make new memories in Dubai BeMyGuest,2018-01-13 09:45:06,21190,4001,1
58,Come experience Dubai a place filled with memorable moments BeMyGuest,2018-01-12 06:32:39,22750,4115,1
59,Thank u for this honour I consider my work with these heroic amp beautiful women a great privilege as it imparts dig,2018-01-11 11:10:01,32378,6112,1
60,It s their first journey together in Dubai Stay tuned for what happens next BeMyGuest,2018-01-11 09:40:50,16783,3445,1
61,Mukkabaaz Baazigar Mukkabaazigar all the best team for Mukkabaazi,2018-01-10 10:56:41,28427,4609,1
62,A little boy makes it to a big game in Dubai Will he score the winning goal Coming soon BeMyGuest,2018-01-10 06:39:19,18213,3808,-1
63,Thanks Is it appropriate that this is lil AbRam s fav song ha ha,2018-01-08 08:32:55,17986,3408,1
64,Holidays as they say should really be given a speeding ticket hate dropping my kids to the airport when holida,2018-01-08 08:24:31,78170,9445,1
65,There would be no progress without equal power to all PowerToWomen on TEDTalksIndiaNayiSoch Tonight at 7pm on,2018-01-07 13:09:34,23710,4387,0
66,,2018-01-07 11:33:34,25804,3884,0
67,,2018-01-07 07:59:10,37564,5421,0
68,For the love of gold within you AndarKaSona with TEDTalksIndiaNayiSoch,2018-01-06 12:28:45,20070,3886,1
69,,2018-01-06 10:33:20,22543,4285,0
70,Thank u all for making Zero feel like a Hero Sometimes our importance in life is not who we are but what we make,2018-01-05 17:33:06,34281,6229,0
71,,2018-01-05 17:31:54,28893,4972,0
72,,2018-01-02 03:30:18,46538,6477,0
73,2ZERO18 3 2 Thank u to the 32 mil,2018-01-01 19:39:34,58793,8295,0
74,Incomplete without u my friend U make us want to act well with ur ease amp understanding of characters,2018-01-01 19:23:27,13746,3000,0
75,RT And here is the title of our next from our best katrinakaif himanshusharma ZER,2018-01-01 19:21:28,0,2142,1
76,As promised here s the title of,2018-01-01 11:30:10,39747,11177,0
77,And now let s watch Ted Talks India Nayi Soch Star Plus par,2017-12-31 13:58:07,30265,4111,0
78,And me also waiting for film Title with the girls and the whole team Happy New year all u very loved p,2017-12-31 13:53:21,30648,5406,1
79,And the lovely away from the glares extremely Unsingle sends her love to everyone as she awaits the,2017-12-31 13:42:32,27798,4436,1
80,Single minded Katrina waiting for Title of film with sends her lovely pic wishing u all a Happy New Yea,2017-12-31 13:38:18,25426,4538,1
81,Chalo to phir done Raha Kal Shaam 5 baje KatrinaKaif,2017-12-31 11:04:54,7847,2956,0
82,Accha rahega Par sirf title announce karoge ya kuch dikhaaoge bhi,2017-12-31 10:59:48,5474,2419,0
83,sir title kab announce karna hai Ya 2018 mein bhi gaaliyan khaani hain KatrinaKaif,2017-12-31 10:51:51,37879,6028,0
84,Do you know who is TED TEDTalksIndiaNayiSoch Tonight at 7pm only on,2017-12-31 05:38:42,25822,4392,0
85,Thx for ur lov amp hospitality Muscat lovely 2 c u all at the Kalyan stores amp 2 meet my collegues,2017-12-29 20:11:49,55993,5920,1
86,My love and most most happiness to so happy to see them married,2017-12-26 18:47:36,129916,12266,1
87,Create memories that will last a lifetime Spend some happy moments with your family amp friends And be a good Santa,2017-12-25 09:14:56,34551,5222,1
