Sno,Tweet,Date,Likes,RTs,Sentiments
1,India in ICC Ranking No 1 in Test with 121 Points No 2 in T20I with 121 Points No 1 in ODI with 121 Points Points 121 and Ranking 121,2018-02-11 14:48:06,2,0,0
2,RT Most runs for INDIA in ODIs number 5 SAvIND ViratKohli,2018-02-11 03:38:01,0,39,1
3,Good morning to all msdhoni fans all over the world SAvIND MSDhoni,2018-02-11 03:34:10,27,0,1
4,4th ODI Dhawan s ton in 100th ODI goes in vain as South Africa beat India by 5 wickets SAvIND,2018-02-11 02:54:15,4,0,0
5,Match updates Play to resume at 8 30 local time 12 00 am IST Newly revised conditions 28 overs game Target 202,2018-02-10 21:09:05,6,0,-1
6,Match Update The umpires have taken a close look at the ground conditions Play set to resume from 20 30 local ti,2018-02-10 21:09:05,2,0,0
7,South Africa s targets based on DLS If 45 overs 274 If 40 overs 256 If 35 overs 235 If 30 overs 212 If 25,2018-02-10 21:09:04,1,0,0
8,If South Africa had not lost Markram then the target would have been 139 ie 96 runs in 12 4 overs SAvInd,2018-02-10 17:09:10,4,0,0
9,If only 20 overs are possible from now South Africa s target is 155 ie 112 runs in remaining 12 4 overs SAvInd,2018-02-10 17:09:10,2,0,0
10,UPDATE Match delayed by bad weather South Africa 43 1 7 2 50 ov target 290 v India SAvIND,2018-02-10 16:59:14,1,0,-1
11,South Africa fight back with late wickets to restrict India to 289 7 Proteas need 290 to win the 4th ODI SAvIND,2018-02-10 15:59:16,7,0,1
12,South Africa came back strongly after the delay to restrict Team India to 289 after another stellar partnership bet,2018-02-10 15:54:23,8,0,1
13,4th ODI After 49 0 Ov India 277 6 MS Dhoni 30 37b Bhuvneshwar Kumar 5 7b SAvIND,2018-02-10 15:44:10,1,0,0
14,35 3 WICKET S Dhawan 109 is out c AB de Villiers b Morne Morkel 206 3 SAvIND,2018-02-10 14:44:10,2,0,0
15,Ind 205 2 35 ov Rahane 6 10 Dhawan 109 104 8 off the over after resumption Edgy stuff from both the batsmen SAvInd Cricket,2018-02-10 14:39:14,3,0,-1
16,If BCCI can ask Ashwin amp Jadeja sit outside for better bench strength for WorldCup2019 then why not to try anot,2018-02-10 14:34:16,11,0,1
17,Shikhar Dhawan s century is the first ODI ton in 26 ODIs in South Africa by an INDIAN opener Sachin Tendulkar s 15,2018-02-10 14:24:31,7,1,1
18,Highest batting average in ODIs against South Africa min 15 inns 61 33 Virat Kohli 50 50 Sourav Ganguly 45 87,2018-02-10 14:19:14,10,0,-1
19,If Virat Kohli gets out for DUCK in next 24 ODI innings still his Average will remains above 50 SAvIND,2018-02-10 13:49:18,4,0,-1
20,4th ODI Lightening stops play at Johannesburg India 200 2 Dhawan 107 Rahane 5 in 34 2 overs vs South Africa SAvIND,2018-02-10 13:49:18,3,0,1
21,Caught and bowled dismissals for Rohit Sharma in ODIs 11 10 2015 at Kanpur by Imran Tahir 150 Lost 18 10 2015 at,2018-02-10 13:49:17,6,0,0
22,Fewest inns to 13th ODI 100 83 Hashim Amla 86 Virat Kohli Quinton de Kock 91 David Warner 99 SHIKHAR DHAWAN SAvInd,2018-02-10 13:39:41,1,0,0
