Sno,Tweet,Date,Likes,RTs,Sentiments
1,RT In public Ivanka presents a simulacrum of herself complete with a breathy unplaceable accent In person and she ju,2018-03-12 14:30:33,0,4,1
2,RT You might be surprised to know how strings are pulled behind the scenes in politics and the press,2018-03-12 14:30:33,0,171,-1
3,This is the best thing I had seen in Politics today Bravo ji T,2018-03-12 14:30:33,0,0,1
4,RT Trump claimed the report s author Maggie Haberman knows nothing about him Haberman is a renowned White House corresponde,2018-03-12 14:30:33,0,190,0
5,Washington Memo The President and the Porn Star A Story s Slow Rise Above the Din For nearly two months Stormy D,2018-03-12 14:30:32,0,0,-1
6,The business rescue practitioners of eight embattled Gupta linked companies are desperately trying to drown out the,2018-03-12 14:30:32,0,0,-1
7,Curacao Chronicle Quarrel MFK and PAR for artificial turf in Barber,2018-03-12 14:30:32,0,0,-1
8,Qedani is like any other South African claims Ramaphosa,2018-03-12 14:30:32,0,0,-1
9,Politics MuhammadPTI Congratulations Hopefully your role as cha,2018-03-12 14:30:32,0,0,0
10,RT GOP Rep Rohrabacher whose name has surfaced repeatedly in connection with the Russia probe says he considers himself th,2018-03-12 14:30:32,0,10,0
11,RT Amen Regardless of this young mans politics he has maintained a level head given the circums,2018-03-12 14:30:32,0,2,1
12,RT Corporations may finally be required to tell how much they spend on politics,2018-03-12 14:30:32,0,4,1
13,RT New federal rules aimed at preventing foreign influence on U S elections through better disclosure of online political a,2018-03-12 14:30:31,0,535,1
14,RT Japan PM wife s name removed from documents in suspected cronyism scandal media,2018-03-12 14:30:31,0,824,0
15,RT NO they are not in the LEAST bc he is a MAN OF THE LAW and his investigation has NOTHING to do with politics And what you,2018-03-12 14:30:31,0,3,-1
16,RT Qatari officials gathered evidence of what they claim is illicit influence by the UAE on Jared Kushner but decided not to giv,2018-03-12 14:30:31,0,1160,0
17,RT White House backs off call to raise minimum age to buy long guns,2018-03-12 14:30:31,0,748,-1
